title,author,rating,format,year
The New Jim Crow:  Mass Incarceration in the Age of Colorblindness,Michelle Alexander,4.6,Hardcover,2010
Between the World and Me,Ta-Nehisi Coates,4.5,Kindle Edition,2015
Into the Wild,Jon Krakauer,4.13,Paperback,1997
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.44,Paperback,2002
With Angel's Wings,Stephanie A. Collins,4.5,Paperback,2013
Their Eyes Were Watching God,Zora Neale Hurston,4.14,Paperback,2006
The Hate U Give,Angie Thomas,4.69,Hardcover,2017
The Hitchhiker's Guide to the Galaxy: A Trilogy in Four Parts,Douglas Adams,4.5,Paperback,1997
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,3.99,Paperback,2012
Of Mice and Men,John Steinbeck,4.17,Paperback,2002
The Autobiography of Malcolm X: As Told to Alex Haley,Malcolm X,4.55,Paperback,1965
The Complete Maus (Maus #1-2),Art Spiegelman,4.62,Paperback,2003
A People's History of the United States,Howard Zinn,4.29,Paperback,2005
The Story of Our Lives: A Novel,Helen Keller,3.99,Paperback,1990
Life the Universe and Everything (Hitchhiker's Guide to the Galaxy #3),Douglas Adams,4.35,Paperback,2005
The Indian in the Cupboard (The Indian in the Cupboard #1),Lynne Reid Banks,4.3,Paperback,2003
The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,4.63,Paperback,1995
The Guardian,Nicholas Sparks,4.33,Paperback,2004
A Short History of Nearly Everything,Bill Bryson,4.39,Paperback,2004
The Crazy Life of a Kid from Brooklyn: My Crazy Life in history with celebrities with travel & with business.,Bill Bryson,4.5,Paperback,2014
Alice's Adventures in Wonderland and Through the Looking-Glass,Lewis Carroll,4.23,Mass Market Paperback,2000
Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan,4.23,Paperback,2006
Things Fall Apart (The African Trilogy #1),Chinua Achebe,4.16,Paperback,1994
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R.R. Martin,4.63,Paperback,2005
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.37,ebook,2017
Eat to Live Quick and Easy Cookbook: 131 Delicious Recipes for Fast and Sustained Weight Loss Reversing Disease and Lifelong Health,Joel Fuhrman,4.31,Paperback,2017
Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss Revised Edition,Joel Fuhrman,4.31,Paperback,2015
The Hunger Games (The Hunger Games #1),Suzanne Collins,4.47,Hardcover,2008
The Narrow Road to the Deep North,Richard Flanagan,4.15,Paperback,2013
A Brief History of Time,Stephen Hawking,4.31,Paperback,1998
The Illustrated Brief History of Time Updated and Expanded Edition,Stephen Hawking,4.31,Paperback,2007
Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter Book 3),J.K. Rowling,4.54,Mass Market Paperback,2008
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),J.K. Rowling,4.62,Mass Market Paperback,2004
La isla de las tormentas / Eye of the Needle (Best Seller) (Spanish Edition),Ken Follett,4.33,Paperback,2004
Horton Hears a Who!,Dr. Seuss,4.48,Paperback,1990
The 48 Laws of Power,Robert Greene,4.35,Paperback,2000
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.28,Paperback,2004
Wuthering Heights,Emily Brontë,4.12,Paperback,2002
How to Win Friends and Influence People,Dale Carnegie,4.43,Paperback,1998
Lean In: Women Work and the Will to Lead,Sheryl Sandberg,4.22,Hardcover,1998
