tableA_title, tableA_author, tableB_title, tableB_author
The Lincoln Lawyer (Mickey Haller #1; Harry Bosch Universe #17),Michael Connelly,The Black Box (Harry Bosch),Michael Connelly
The Lincoln Lawyer (Mickey Haller #1; Harry Bosch Universe #17),Michael Connelly,The Drop (A Harry Bosch Novel),Michael Connelly
The Lincoln Lawyer (Mickey Haller #1; Harry Bosch Universe #17),Michael Connelly,The Black Ice (Harry Bosch),Michael Connelly
Coinman: An Untold Conspiracy,Pawan Mishra,Coinman: An Untold Conspiracy,Pawan Mishra
The Power of Praying for Your Adult Children,Stormie Omartian,The Power of a Praying® Wife,Stormie Omartian
In Cold Blood,Truman Capote,In Cold Blood,Truman Capote
Naked in Death (In Death #1),J.D. Robb,Echoes in Death: Chapter 1,J. D. Robb
The Power of a Praying Husband,Stormie Omartian,The Power of a Praying® Wife,Stormie Omartian
The 4-Hour Workweek,Timothy Ferriss,The 4-Hour Workweek: Escape 9-5 Live Anywhere and Join the New Rich,Timothy Ferriss
The Silver Chair (Chronicles of Narnia #4),C.S. Lewis,The Lion the Witch and the Wardrobe (The Chronicles of Narnia), C. S. Lewis
Smile,Raina Telgemeier,Smile,Raina Telgemeier
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the,J.R.R. Tolkien
The Glass Castle,Jeannette Walls,The Glass Castle: A Memoir,Jeannette Walls
Percy Jackson and the Olympians (Percy Jackson and the Olympians #1-3),Rick Riordan,Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan and 
The Screwtape Letters,C.S. Lewis,The Screwtape Letters,C. S. Lewis
Anne of the Island (Anne of Green Gables #3),L.M. Montgomery,Anne of Green Gables: illustrated - first published in 1908 (1st. Page Classics),Lucy Maud Montgomery
The Storyteller,Jodi Picoult,The Storyteller,Jodi Picoult
The Catcher in the Rye,J.D. Salinger,The Catcher in the Rye,J.D. Salinger
The Catcher in the Rye,J.D. Salinger,The Catcher in the Rye,J.D. Salinger
Let's Pretend This Never Happened: A Mostly True Memoir,Jenny  Lawson,Let's Pretend This Never Happened: A Mostly True Memoir,Jenny Lawson
When Breath Becomes Air,Paul Kalanithi,When Breath Becomes Air,Paul Kalanithi and 
The Complete Tales,Beatrix Potter,Beatrix Potter the Complete Tales (Peter Rabbit),Beatrix Potter
Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live Love Parent and Lead,Brené Brown,Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live Love Parent and Lead,Brené Brown
Face of Our Father,G Egore Pitir,Face Of Our Father,G. Egore Pitir
Marked (House of Night #1),P.C. Cast,House of Night Books 1-4 (Marked / Betrayed / Chosen / Untamed),P. C. Cast and 
Harry Potter and the Sorcerer's Stone (Harry Potter #1),J.K. Rowling,Harry Potter and the Sorcerer's Stone,J.K. Rowling and 
Harry Potter and the Sorcerer's Stone (Harry Potter #1),J.K. Rowling,Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter Book 1),J.K. Rowling and 
