title, author, rating, format
Adult Coloring Book: Island Dreams: Vacation Summer and Beach: Dream and Relax with Gorgeous Illustrations,Julia Rivers and ,4.2,Paperback
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,Paperback
The One and Only Ivan,Katherine Applegate and ,4.8,Paperback
Moon Mourning (Samantha Moon Origins Book 2),J.R. Rain and ,4.4,Kindle Edition
Wind Catcher (A Chosen Novel Book 1),Jeff Altabef and ,4.5,Kindle Edition
Start Again: A Contemporary Romance Novel (Start Again Series #1),J. Saman,4.6,Kindle Edition
EIGHT: Terror Has A New Species,WW Mortensen,,Kindle Edition
Dead Girls Don't Lie,Jennifer Shaw Wolf,4.3,Paperback
The Great Alone: A Novel,Kristin Hannah,4.6,Hardcover
Coloring Books for Adults Relaxation: Adult Coloring Books: Flowers Animals and Garden Designs,Coloring Books for Adults Relaxation and ,4.4,Paperback
Detached: A Thriller Novel,Wendy Weiss,4.7,Kindle Edition
Into the Funhouse,Walter Harp,5,Kindle Edition
The Rock the Road and the Rabbi: My Journey into the Heart of Scriptural Faith and the Land Where It All Began,Kathie Lee Gifford and ,4.2,Hardcover
The House by the River,Lena Manta and ,4.3,Paperback
Lilac Girls: A Novel,Martha Hall Kelly,4.6,Paperback
The Betrayal: The Top Ten Bestseller,Kate Furnivall,4.4,Paperback
The Electric Pressure Cooker Cookbook: 200 Fast and Foolproof Recipes for Every Brand of Electric Pressure Cooker,Barbara Schieving,4.8,Paperback
The Winter Sea,Susanna Kearsley,4.5,Paperback
Glass Lands,John Ryan,4.8,Kindle Edition
The Trials of Sarah Newby: Books 1-3,Tim Vicary,,Kindle Edition
Everywhere I Go God Is With Me (Best of Li’l Buddies),Mikal Keefer and ,4.8,Board book
Adult Coloring Book: Butterflies and Flowers : Stress Relieving Patterns (Volume 7),Cherina Kohey,4.5,Paperback
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,Paperback
Little Green Frog: Lift-a-Flap Board Book (Babies Love),Ginger Swift and ,4.8,Board book
Ultimate Coloring Book Treasury: Relax Recharge and Refresh Yourself (Design Originals) 208 Pages of Beautiful One-Side-Only Designs on Extra-Thick Perforated Paper in a Spiral Lay-Flat Binding,Valentina Harper and ,4.5,Spiral-bound
Men in Green,Michael Bamberger,4.3,Paperback
Spell Hath No Fury: A Lexi Balefire Matchmaking Witch Mystery (Fate Weaver Book 5),ReGina Welling and ,4.7,Kindle Edition
The Tell All (Locust Point Mystery Book 1),Libby Howard,4.5,Kindle Edition
Strangers: The unforgettable crime thriller from the #1 bestseller,Paul Finch,4.1,Paperback
A Great and Terrible King: Edward I and the Forging of Britain,Marc Morris,4.4,Paperback
Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers Animals and Paisley Patterns,Coloring Books for Adults,4.5,Paperback
Go! Go! Go! Stop!,Charise Mericle Harper,4.8,Board book
The Running Man: A Novel,Stephen King,4.3,Mass Market Paperback
The Best Friend: a chilling psychological thriller,Shalini Boland,4.3,Paperback
Special Operations: Grant's Crusade,Eric Meyer,,Kindle Edition
Give Work: Reversing Poverty One Job at a Time,Leila Janah,4.6,Hardcover
Beth Webb: An Eye for Beauty: Rooms That Speak to the Senses,Beth Webb and ,4.8,Hardcover
The Girl Who Lived: A Thrilling Suspense Novel,Christopher Greyson,4.4,Paperback
A Place to Call Home: Tradition Style and Memory in the New American House,Gil Schafer III and ,4.4,Hardcover
A Man Called Ove: A Novel,Fredrik Backman,4.6,Paperback
Lonely Planet's Best in Travel 2018,Lonely Planet,4.3,Paperback
The New York Times Book of the Dead: 320 Print and 10000 Digital Obituaries of Extraordinary People,William McDonald,4.4,Hardcover
Hidden Agenda: A Dan Roy Thriller (The Dan Roy Series Book 1),Mick Bose,,Kindle Edition
Orchid Girl: An epic love story set in the world's darkest days,Rochelle Carlton,4.8,Kindle Edition
This is Going to Hurt: Secret Diaries of a Junior Doctor - The Sunday Times Bestseller,Adam Kay,,Paperback
All Day Long God Loves Me (Best of Li’l Buddies),Mikal Keefer and ,4.8,Board book
Red Adam's Lady (Rediscovered Classics),Grace Ingram and ,4.9,Paperback
The Simple Kitchen: Quick and Easy Recipes Bursting With Flavor,Donna Elick and ,4.6,Paperback
The Bucket List: 1000 Adventures Big & Small,Kath Stathers,4.7,Hardcover
Teacup Kittens Coloring Book (Design Originals) 32 Adorable Expressive-Eyed Cat Designs from Illustrator Kayomi Harai on High-Quality Extra-Thick Perforated Pages that Resist Bleed Through,Kayomi Harai,4.8,Paperback
Colors,Jay Magidson,4.5,Kindle Edition
Complete Children's Cookbook,DK,4.6,Hardcover
The Legacy of Lucy Harte,Emma Heatherington,4.3,Paperback
He Still Moves Stones (The Bestseller Collection),Max Lucado,4.8,Hardcover
The Hiccupotamus,Aaron Zenz,4.5,Hardcover
The Charm School,Nelson DeMille,4.6,Paperback
Journeys of a Lifetime: 500 of the World's Greatest Trips,National Geographic,4.6,Hardcover
For Better or Worse: A cozy mystery with a difference (The Ginger Barnes Main Line Mysteries Book 8),Donna Huston Murray,4.4,Kindle Edition
My Trip to Adele,A.I. Alyaseer and ,4.1,Kindle Edition
The Girls of Ennismore,Patricia Falvey,4.5,Paperback
Oliver's Tree,Kit Chase,4.8,Board book
Miracle Man,William R Leibowitz,4.2,Paperback
Only Time Will Tell (The Clifton Chronicles),Jeffrey Archer,4.4,Mass Market Paperback
No Better Friend: Young Readers Edition: A Man a Dog and Their Incredible True Story of Friendship and Survival in World War II,Robert Weintraub,4.8,Hardcover
Side Effects May Vary,Julie Murphy,3.8,Paperback
Coercion,Tim Tigner,4.3,Kindle Edition
Murder in the E.R.: A Detective Capella Crime Novel (Detective Capella Mystery Thriller Series Book 1),Jackie Holiday,3.7,Kindle Edition
Evening Class,Maeve Binchy,4.5,Mass Market Paperback
The Indian in the Cupboard,Lynne Reid Banks,4.7,Paperback
The Personal MBA: Master the Art of Business,Josh Kaufman,4.5,Paperback
Devotion: An Epic Story of Heroism Friendship and Sacrifice,Adam Makos,4.8,Paperback
Timekeeper,Tara Sim,4.3,Paperback
Salad of the Day (Revised): 365 Recipes for Every Day of the Year,Georgeanne Brennan,4.5,Hardcover
The Women in Pants: Sidesaddles No More,Stan Himes,,Kindle Edition
Ghost Heart: A Medical Thriller,Lisa Harris and ,4.7,Kindle Edition
Cocoon (The Cocoon Trilogy Book 1),David Saperstein,4.3,Kindle Edition
Ridiculous! (Ridiculous Lovers Book 1),D. L. Carter,4.5,Kindle Edition
Passenger 19 (A Jammer Davis Thriller),Ward Larsen,4.5,Paperback
Winter Garden,Kristin Hannah,4.6,Paperback
Educated: A Memoir,Tara Westover,4.7,Hardcover
What Are Little Boys Made Of? (Little Bird Greetings),Minnie Birdsong and ,4.2,Board book
London Large - Blood on the Streets: Detective Hawkins Crime Thriller Series Book 1 (London Large Hard-Boiled Crime Series),Roy Robson and ,4.6,Kindle Edition
THE DCS FRANK KRUGER TRILOGY: THREE SUSPENSEFUL FINELY PACED CRIME MYSTERIES,David S Fisher,,Kindle Edition
Arctic Homestead: The True Story of One Family's Survival  and Courage in the Alaskan Wilds,Norma Cobb and ,4.4,Paperback
Nyxia (The Nyxia Triad),Scott Reintgen,4.5,Hardcover
Smoke It Like a Pit Master with Your Electric Smoker: Recipes and Techniques for Easy and Delicious BBQ,Wendy O'Neal,4.3,Paperback
The Best Mexican Recipes: Kitchen-Tested Recipes Put the Real Flavors of Mexico Within Reach,America's Test Kitchen,4.7,Paperback
A Swear Word Coloring Book Midnight Edition: Sweary Mandalas: An Irreverent & Hilarious Antistress Sweary Adult Colouring Gift Featuring Mandalas & ... Mindful Meditation & Art Color Therapy),Honey Badger Adult Coloring Books and ,4.6,Paperback
The Black Witch: An Epic Fantasy Novel (The Black Witch Chronicles),Laurie Forest,4.4,Hardcover
Partners (Fire & Lies - Book One),Lilliana Anderson,4.8,Kindle Edition
Black and Blue,D.R. Ryan,5,Kindle Edition
The 10 Pillars of Wealth: Mind-Sets of the World's Richest People,Alex Becker,4.8,Paperback
Secret Slave,Anna Ruston,4.3,Paperback
The Bricklayer of Albany Park,Terry John Malik,4.9,Paperback
Something Like Happy: A Novel,Eva Woods,4.5,Hardcover
Angels: Who They Are What They Do and Why It Matters,Jack Graham and ,4.5,Paperback
The Pizza Diet: How I Lost 100 Pounds Eating My Favorite Food -- and You Can Too!,Pasquale Cozzolino and ,4.5,Paperback
Garden of the Gods,Stephen J. Stirling,4.9,Kindle Edition
Soot Angel (with arson investigator Anja Toussaint),m.a. petterson,4.4,Kindle Edition
Best. Night. Ever.: A Story Told from Seven Points of View (mix),Rachele Alpine and ,4.9,Hardcover
Promise Me Dad: A Year of Hope Hardship and Purpose,Joe Biden,4.7,Hardcover
The Ultimate Cigar Book: 4th Edition,Richard Carleton Hacker,4.7,Hardcover
Pop-Up Peekaboo: Bedtime,DK,4.4,Board book
Your Daily Homemade Bread: Easy Stand Mixer Bread Recipes: Best Basics (Volume 1),Mary Ellen Ward,4.5,Paperback
Highbrow Lowbrow Brilliant Despicable: Fifty Years of New York Magazine,The Editors of New York Magazine,4.7,Hardcover
The Tarleton Murders: Sherlock Holmes in America,Breck England,4.9,Kindle Edition
Tessa's Garden: Four Season Collection,J.L. Starr,4.6,Kindle Edition
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.5,Paperback
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.7,Paperback
Enchanted Forest: An Inky Quest & Coloring Book,Johanna Basford,4.8,Paperback
EllRay Jakes the Recess King!,Sally Warner and ,4.7,Paperback
Women Who Move Mountains: Praying with Confidence Boldness and Grace,Sue Detweiler and ,4.7,Paperback
The Complete Cooking for Two Cookbook: 650 Recipes for Everything You'll Ever Want to Make,America's Test Kitchen,4.7,Paperback
Dark Illusion: A Psychological Thriller Novel,Dana V. Moison,4.3,Kindle Edition
Cabal of The Westford Knight: Templars at the Newport Tower (Book #1 in the Templars in America Series),David S. Brody,4.2,Kindle Edition
Adult coloring book : Good Vibes relaxation and Inspiration: Worry end when faith begin : Faith and Color Combine  to Banish Fear from Bible God ... and more (Adult Coloring Books) (Volume 23),Cherina Kohey,4.1,Paperback
Conócete a ti mismo tal como realmente eres (Spanish Edition),Dalai Lama,5,Paperback
A Dog's Purpose: A Novel for Humans,W. Bruce Cameron,4.8,Paperback
The Range Bucket List: The Golf Adventure of a Lifetime,James Dodson,4.6,Hardcover
The Best Seller,Dina Rae,4,Paperback
Buddhism: A Beginners Guide Book For True Self Discovery and Living A Balanced and Peaceful Life: Learn To Live in The Now and Find Peace From Within ... / Buddhist Books By Sam Siv) (Volume 1),Sam Siv,4.7,Paperback
Tokyo Black (Thomas Caine Thrillers Book 1),Andrew Warren,4.4,Kindle Edition
The Ghostwriter,DCA,4.7,Kindle Edition
Pacific Thunder: The US Navy's Central Pacific Campaign August 1943–October 1944,Thomas McKelvey Cleaver,4.5,Hardcover
Meathead: The Science of Great Barbecue and Grilling,Meathead Goldwyn and ,4.9,Hardcover
Legend: The Incredible Story of Green Beret Sergeant Roy Benavidez's Heroic Mission to Rescue a Special Forces Team Caught Behind Enemy Lines,Eric Blehm,4.7,Paperback
Adult Coloring Books: Color the 90's: The Ultimate 90's Coloring Book for Adults (Best Sellers),Outrageous Katie,4.7,Paperback
Scale: Seven Proven Principles to Grow Your Business and Get Your Life Back,Jeff Hoffman and ,5,Hardcover
Did You Know?: Amazing Answers to the Questions You Ask,DK,4.4,Hardcover
