ID,title,author,rating,format
b111,The Ice Man: Confessions of a Mafia Contract Killer,Philip Carlo,4.4,Mass Market Paperback
b112,The Fix (Memory Man series),David Baldacci,4.5,Mass Market Paperback
b113,Unlocking Potential: 7 Coaching Skills That Transform Individuals Teams and Organizations,Michael K. Simpson and ,4.4,Paperback
b114,Lights Camera GONE: An edge of your seat thriller-mystery (Detective Erin Bond Book 1),Bella Forrest,4.7,Kindle Edition
b115,The Storm (A Berry Springs Novel),Amanda McKinney,4.5,Kindle Edition
b116,The Girl from Everywhere,Heidi Heilig,4.3,Paperback
b117,The Glass Forest: A Novel,Cynthia Swanson,4.5,Hardcover
b118,The Man Without a Shadow: A Novel,Joyce Carol Oates,3.6,Paperback
b119,Sugar Crush: How to Reduce Inflammation Reverse Nerve Damage and Reclaim Good Health,Dr. Richard Jacoby and ,4.6,Paperback
b120,Zoo in the Sky: A Book of Animal Constellations,Jacqueline Mitton and ,,Paperback
b121,Adult Coloring Books Good vibes: Don’t give up : Motivate your life with Brilliant designs and great calligraphy words to help melt stress away. (Volume 16),Cherina Kohey,4.5,Paperback
b122,Shiftr: Swipe Left for Love Boxed Set (Books 1-5): BBW Bear Tiger Lion and Werewolf Paranormal Shifter Romances,Ariana Hawkes,,Kindle Edition
b123,Drowning,Margaret McHeyzer and ,,Kindle Edition
b124,The Shell Seekers,Rosamunde Pilcher,4.7,Paperback
b125,Girl in the Blue Coat,Monica Hesse,4.4,Paperback
b126,Humans of New York,Brandon Stanton,4.8,Hardcover
b127,Styled: Secrets for Arranging Rooms from Tabletops to Bookshelves,Emily Henderson and ,4.4,Hardcover
b128,Upstairs at the White House: My Life with the First Ladies,J. B. West and ,4.5,Paperback
b129,The House on Foster Hill,Jaime Jo Wright,4.6,Paperback
b130,Tapas Carrot Cake and a Corpse (A Charlotte Denver Cozy Mystery Culinary Cozy Mystery Book 1),Sherri Bryan,4.2,Kindle Edition
b131,The Lazarus Succession: An Epic Historical Thriller,Ken Fry and ,4.7,Kindle Edition
b132,The Best Land Under Heaven: The Donner Party in the Age of Manifest Destiny,Michael Wallis,4.6,Hardcover
b133,99 Red Balloons: A chillingly clever psychological thriller with a stomach-flipping twist,Elisabeth Carpenter,4.1,Paperback
b134,Running on Red Dog Road: And Other Perils of an Appalachian Childhood,Drema Hall Berkheimer,4.6,Paperback
b135,Little Boy Lost,J. D. Trafford,4.2,Paperback
b136,Licensed to Thrill 1: Hunt For Jack Reacher Series Thrillers Books 1-3 (Diane Capri’s Licensed to Thrill Sets),Diane Capri,,Kindle Edition
b137,If I Live (If I Run Series),Terri Blackstock,4.9,Paperback
b138,Battlefield Earth: Post-Apocalyptic Sci-Fi and New York Times Bestseller,L. Ron Hubbard,4.6,Paperback
b139,The Self-Love Experiment: Fifteen Principles for Becoming More Kind Compassionate and Accepting of Yourself,Shannon Kaiser,4.5,Paperback
b140,The Fog Seller: A San Francisco Mystery,Don Daglow,,Paperback
b141,The Weeknight Dinner Cookbook: Simple Family-Friendly Recipes for Everyday Home Cooking,Mary Younkin,4.7,Paperback
b142,Tangled Vines: Greed Murder Obsession and an Arsonist in the Vineyards of California,Frances Dinkelspiel,4.4,Paperback
b143,The Couple Next Door: A Novel,Shari Lapena,4.1,Paperback
b144,Dead Lawyer on Aisle 11 (Michael Gresham Series Book 7),Subjudica House Press,4.5,Kindle Edition
b145,CARVER (An NCIS Special Agent Ruben Carver Novel Book 1),Jeffrey Seay,4,Kindle Edition
